,agent_type,scenario,reward,steps,interaction_num,duration,cost,datetime,duration_1000_steps_sec,episode_duration_sec,step_exec_times_sec
117,hm_llama3,2,-14.512,1399,23,,0.0,2025-12-10_15-28-13,684.0018017292023,957.1541965007782,
118,hm_llama3,2,-30.508000000000006,1099,18,,0.0,2025-12-10_15-45-52,724.192943572998,800.717714548111,
119,hm_llama3,2,-46.435,1199,21,,0.0,2025-12-10_15-46-10,656.4629368782043,790.852846622467,
120,hm_llama3,2,-39.91,1099,19,,0.0,2025-12-10_16-01-13,628.0712563991547,670.3953790664673,
121,hm_llama3,2,6.216000000000001,1699,29,,0.0,2025-12-10_16-01-34,722.8918220996857,1199.512080192566,
122,hm_llama3,3,10.381,1199,22,,0.0,2025-12-10_16-27-41,744.8803899288177,869.8102602958679,
123,hm_llama3,3,-8.495999999999999,1099,20,,0.0,2025-12-10_16-30-02,738.5950498580933,778.7362160682678,
124,hm_llama3,3,-42.527,1299,21,,0.0,2025-12-10_16-44-37,609.8358812332153,830.0848605632782,
125,hm_llama3,3,-2.9160000000000004,1199,22,,0.0,2025-12-10_16-44-55,657.9943761825562,817.7660291194916,
126,hm_llama3,3,5.945,1099,18,,0.0,2025-12-10_17-00-47,736.6293590068817,787.6967124938965,
127,hm_llama3,4,-21.088,1999,33,,0.0,2025-12-10_17-00-32,654.4451053142548,1331.4841730594635,
128,hm_llama3,4,-25.181,1399,24,,0.0,2025-12-10_17-16-15,745.3111398220062,1018.6485164165496,
129,hm_llama3,4,3.5279999999999987,1299,22,,0.0,2025-12-10_17-25-02,754.544353723526,957.0194432735444,
130,hm_llama3,4,-10.091,1399,23,,0.0,2025-12-10_17-35-50,696.4415149688721,973.2579572200776,
131,hm_llama3,4,1.082,1099,19,,0.0,2025-12-10_17-43-11,659.0654380321503,704.0099899768829,
132,hm_llama3,4,-58.68800000000001,1799,30,,0.0,2025-12-10_17-54-09,686.5269665718079,1134.0978269577026,
133,hm_llama3,3,2.771,1799,31,,0.0,2025-12-11_02-04-21,683.7344319820404,1343.1641945838928,
134,hm_llama3,5,13.974000000000002,2199,21,,0.0,2025-12-11_02-07-13,483.3778176307678,1181.0542521476746,
135,hm_llama3,5,-2.459,1399,15,,0.0,2025-12-11_02-28-42,580.2801072597504,812.6244118213654,
136,hm_llama3,5,-0.5830000000000002,1599,13,,0.0,2025-12-11_02-29-09,496.2640547752381,821.8974385261536,
137,hm_llama3,5,24.629000000000005,1299,13,,0.0,2025-12-11_02-44-13,567.4962375164032,720.2056653499603,
138,hm_llama3,5,18.012999999999998,1699,16,,0.0,2025-12-11_02-44-59,530.9921553134918,894.7893640995026,
139,hm_llama3,6,-46.935,1299,23,,0.0,2025-12-11_05-47-30,754.5159089565277,973.7542927265168,
140,hm_llama3,5,-9.392,1599,21,,0.0,2025-12-11_05-47-11,617.0878555774689,996.5574686527252,
141,hm_llama3,6,-0.581,1099,20,,0.0,2025-12-11_06-05-52,951.9515039920808,1009.1306855678558,
142,hm_llama3,6,11.975,2399,36,,0.0,2025-12-11_06-08-30,651.6366035938263,1522.7823197841644,
143,hm_llama3,6,20.525,1099,19,,0.0,2025-12-11_06-24-53,649.3321876525879,719.9889028072357,
144,hm_llama3,6,5.196,1699,31,,0.0,2025-12-11_06-35-57,776.8616676330566,1347.2498655319214,
145,hm_llama3,6,-38.008,1199,20,,0.0,2025-12-11_07-01-25,689.8461239337921,782.6306936740875,
146,hm_llama3,7,59.89500000000001,1499,28,,0.0,2025-12-11_07-01-46,784.0612568855286,1122.4282529354095,
147,hm_llama3,7,-13.900999999999998,1099,17,,0.0,2025-12-11_07-16-20,768.3557305335999,813.7506880760193,
148,hm_llama3,7,-54.03700000000001,1299,23,,0.0,2025-12-11_07-22-14,613.6640362739563,844.9791765213013,
149,hm_llama3,7,22.533999999999995,1399,24,,0.0,2025-12-11_07-31-54,729.0700256824493,1025.343859910965,
150,hm_llama3,7,13.173999999999998,1099,20,,0.0,2025-12-11_07-38-25,677.8850374221802,753.314954996109,
151,hm_llama3,7,-75.364,1799,33,,0.0,2025-12-11_07-50-53,742.1371133327484,1244.5192341804504,
152,hm_llama3,1,-27.18200000000001,1099,18,,0.0,2025-12-11_10-43-16,800.8169238567352,852.556459903717,
153,hm_llama3,1,-67.02,1999,33,,0.0,2025-12-11_10-40-55,709.2760109901428,1441.5153181552887,
154,hm_llama3,2,-6.496,1199,20,,0.0,2025-12-11_13-58-42,771.6813750267029,915.4446580410004,
155,hm_llama3,1,-45.408,1599,28,,0.0,2025-12-11_13-58-22,718.5390210151672,1215.2315583229065,
156,hm_llama3,3,-5.988,1199,20,,0.0,2025-12-11_14-16-31,673.7249176502228,838.4012987613678,
157,hm_llama3,3,15.553,1599,31,,0.0,2025-12-11_14-20-52,857.3002831935883,1326.3794095516205,
158,hm_llama3,3,14.255,1299,21,,0.0,2025-12-11_14-32-54,732.4539322853088,925.3566615581512,
159,hm_llama3,3,33.45399999999999,1599,26,,0.0,2025-12-11_14-45-27,748.3290119171143,1167.4046688079834,
160,hm_llama3,4,-4.156000000000001,1399,23,,0.0,2025-12-11_15-41-04,729.907190322876,1048.4426839351654,
161,hm_llama3,4,-18.26,1399,23,,0.0,2025-12-11_15-41-25,718.9993379116058,1105.108419418335,
162,hm_llama3,4,29.995999999999995,1499,26,,0.0,2025-12-11_16-00-32,729.9781761169434,1176.378464460373,
163,hm_llama3,4,43.472,2299,40,,0.0,2025-12-11_16-02-00,655.9731390476227,1687.8340530395508,
164,hm_llama3,5,-1.035,1099,11,,0.0,2025-12-11_16-22-28,564.210527420044,629.2004685401917,
165,hm_llama3,5,5.828999999999999,1099,11,,0.0,2025-12-11_16-32-31,597.0591621398926,628.3263349533081,
166,hm_llama3,5,-5.207,1799,21,,0.0,2025-12-11_16-44-53,579.1869938373566,1188.0486600399015,
167,hm_llama3,5,56.007,3099,24,,0.0,2025-12-11_16-35-05,482.4693262577057,1891.113420248032,
168,hm_llama3,0,25.291999999999994,1499,25,,0.0,2025-12-24_06-11-22,972.9001924991608,1538.9363193511963,
169,hm_llama3,0,-25.332999999999995,1699,28,,0.0,2025-12-24_06-14-17,961.943699836731,1706.341778755188,
170,hm_llama3,0,-0.4690000000000003,1499,27,,0.0,2025-12-24_06-39-13,1080.4010844230652,1410.3890631198883,
171,hm_llama3,0,-3.267,1599,30,,0.0,2025-12-24_06-44-41,1040.876311302185,1663.693878173828,
172,hm_llama3,0,30.839,1699,30,,0.0,2025-12-24_07-04-50,902.392104625702,1629.7769227027893,
173,hm_llama3,1,0.3629999999999991,2199,39,,0.0,2025-12-24_07-14-40,1049.3310706615448,2544.7493002414703,
174,hm_llama3,1,-17.372,2199,36,,0.0,2025-12-24_07-34-17,923.8123440742492,2316.291119337082,
175,hm_llama3,1,-26.138,1499,28,,0.0,2025-12-24_07-59-18,1109.033961057663,1761.5603535175323,
